method,ratio,documents,mean_words,mean_rouge1,mean_rouge2,mean_rougeL,mean_composite,wins
SeaLLM,100%,20,42.15,0.0654,0.0015,0.052,0.0587,12
IndoT5,-,20,42.1,0.0646,0.0027,0.0491,0.0568,7
